,Latitude,Longitude,State,Happiness Rank,Happiness Score,Avg Temp Rank,Avg Temp (°F),% Sun,Total Sunlight Hours,Clear Days,Cloudy Days (>30% Cloud Coverage),% of Cloudy Days
0,19.898682,-155.66585700000005,Hawaii,1,68.27,2,70.0,71,–,90,275,75.34
1,39.32098,-111.093731,Utah,2,67.84,32,48.6,66,3029,125,240,65.75
2,46.729553,-94.6859,Minnesota,3,67.26,47,41.2,58,2711,95,270,73.97
3,47.551493,-101.002012,North Dakota,4,65.62,49,40.4,59,2738,93,272,74.52
4,36.778261,-119.417932,California,5,63.14,12,59.4,68,3055,146,219,60.0
5,44.068202,-114.742041,Idaho,6,63.09,40,44.4,64,2993,120,245,67.12
6,39.045755,-76.641271,Maryland,7,61.78,20,54.2,57,2582,105,260,71.23
7,41.878003,-93.097702,Iowa,8,61.07,36,47.8,59,2691,105,260,71.23
8,43.969515,-99.901813,South Dakota,9,60.8,38,45.2,63,2947,104,261,71.51
9,41.492537,-99.901813,Nebraska,10,59.11,30,48.8,61,2762,117,248,67.95
10,43.78444,-88.787868,Wisconsin,11,58.87,43,43.1,54,2428,89,276,75.62
11,41.60322100000001,-73.087749,Connecticut,12,58.24,29,49.0,56,2585,82,283,77.53
12,40.058324,-74.405661,New Jersey,13,58.1,22,52.7,56,2499,94,271,74.25
13,43.299428000000006,-74.217933,New York,14,57.35,37,45.4,46,2120,63,302,82.74
14,37.431573,-78.656894,Virginia,15,57.35,17,55.1,63,2829,100,265,72.6
15,42.407211,-71.382437,Massachusetts,16,56.85,35,47.9,58,2634,98,267,73.15
16,47.751074,-120.740139,Washington,17,56.44,34,48.3,47,2170,58,307,84.11
17,39.550051,-105.782067,Colorado,18,55.38,39,45.1,71,3204,136,229,62.74
18,32.157435,-82.907123,Georgia,19,55.15,5,63.5,66,2986,112,253,69.32
19,35.759573,-79.0193,North Carolina,20,53.69,13,59.0,60,2651,109,256,70.14
20,34.048928000000004,-111.093731,Arizona,21,52.92,10,60.3,85,3806,193,172,47.12
21,31.968599,-99.901813,Texas,22,52.56,4,64.8,61,2850,135,230,63.01
22,40.633125,-89.398528,Illinois,23,52.47,23,51.8,56,2567,95,270,73.97
23,43.193852,-71.572395,New Hampshire,24,52.37,42,43.8,54,2519,90,275,75.34
24,39.011902,-98.484246,Kansas,25,52.3,19,54.3,65,2922,128,237,64.93
25,38.80261,-116.419389,Nevada,26,51.8,28,49.9,79,3646,158,207,56.71
26,38.910832,-75.52767,Delaware,27,51.67,16,55.3,–,–,97,268,73.42
27,46.879682,-110.362566,Montana,28,51.08,45,42.7,59,2698,82,283,77.53
28,27.664827,-81.515754,Florida,29,51.01,1,70.7,66,2927,101,264,72.33
29,41.203322,-77.194525,Pennsylvania,30,50.54,30,48.8,58,2614,87,278,76.16
30,41.580095,-71.477429,Rhode Island,31,50.44,27,50.1,58,2606,98,267,73.15
31,40.551217,-85.602364,Indiana,32,50.2,25,51.7,55,2440,88,277,75.89
32,45.253783,-69.44546899999999,Maine,33,49.81,48,41.0,57,2513,101,264,72.33
33,44.314844,-85.602364,Michigan,34,49.52,40,44.4,51,2392,71,294,80.55
34,43.075968,-107.290284,Wyoming,35,48.9,46,42.0,68,3073,114,251,68.77
35,33.836081,-81.163725,South Carolina,36,48.26,8,62.4,64,2826,115,250,68.49
36,40.417287,-82.907123,Ohio,37,48.19,26,50.7,50,2183,72,293,80.27
37,44.55880300000001,-72.577841,Vermont,38,48.18,44,42.9,49,2295,58,307,84.11
38,43.804133,-120.554201,Oregon,39,48.05,33,48.4,48,2341,68,297,81.37
39,35.517491,-86.58044699999998,Tennessee,40,46.13,14,57.6,56,2510,102,263,72.05
40,34.97273,-105.032363,New Mexico,41,43.35,21,53.4,76,3415,167,198,54.25
41,37.964253,-91.831833,Missouri,42,42.76,18,54.5,60,2690,115,250,68.49
42,32.354668,-89.398528,Mississippi,43,41.63,6,63.4,61,2720,111,254,69.59
43,37.839333,-84.27001800000002,Kentucky,44,39.42,15,55.6,56,2514,93,272,74.52
44,32.318231,-86.902298,Alabama,45,39.35,7,62.8,58,2641,99,266,72.88
45,35.007752,-97.092877,Oklahoma,46,38.89,11,59.6,68,3089,139,226,61.92
46,63.588753,-154.493062,Alaska,47,38.21,50,26.6,41,2061,61,304,83.29
47,31.244823,-92.145024,Louisiana,48,37.15,3,66.4,57,2649,101,264,72.33
48,35.20105,-91.831833,Arkansas,49,36.61,9,60.4,61,2771,123,242,66.3
49,38.597626,-80.454903,West Virginia,50,33.42,23,51.8,–,–,60,305,83.56
