,Country,Happiness Rank 2015,Happiness Score 2015,Happiness Rank 2016,Happiness Score 2016,Happiness Rank 2017,Happiness Score 2017
0,Switzerland,1,7.587000000000001,2,7.5089999999999995,4,7.49399995803833
1,Iceland,2,7.561,3,7.501,3,7.50400018692017
2,Denmark,3,7.527,1,7.526,2,7.52199983596802
3,Norway,4,7.522,4,7.497999999999999,1,7.537000179290769
4,Canada,5,7.4270000000000005,6,7.404,7,7.31599998474121
5,Finland,6,7.406000000000001,5,7.412999999999999,5,7.468999862670901
6,Netherlands,7,7.377999999999999,7,7.3389999999999995,6,7.3769998550415
7,Sweden,8,7.364,10,7.291,9,7.28399991989136
8,New Zealand,9,7.2860000000000005,8,7.334,8,7.31400012969971
9,Australia,10,7.284,9,7.313,10,7.28399991989136
10,Israel,11,7.278,11,7.267,11,7.212999820709231
11,Costa Rica,12,7.226,14,7.087000000000001,12,7.0789999961853
12,Austria,13,7.2,12,7.119,13,7.00600004196167
13,Mexico,14,7.187,21,6.778,25,6.57800006866455
14,United States,15,7.119,13,7.104,14,6.993000030517581
15,Brazil,16,6.983,17,6.952000000000001,22,6.6350002288818395
16,Luxembourg,17,6.946000000000001,20,6.871,18,6.86299991607666
17,Ireland,18,6.94,19,6.907,15,6.9770002365112305
18,Belgium,19,6.937,18,6.928999999999999,17,6.89099979400635
19,United Arab Emirates,20,6.901,28,6.5729999999999995,21,6.6479997634887695
20,United Kingdom,21,6.867000000000001,23,6.725,19,6.71400022506714
21,Venezuela,23,6.81,44,6.084,82,5.25
22,Singapore,24,6.797999999999999,22,6.739,26,6.57200002670288
23,Panama,25,6.7860000000000005,25,6.7010000000000005,30,6.4520001411438
24,Germany,26,6.75,16,6.994,16,6.9510002136230495
25,Chile,27,6.67,24,6.705,20,6.65199995040894
26,Qatar,28,6.611000000000001,36,6.375,35,6.375
27,France,29,6.575,32,6.478,31,6.44199991226196
28,Argentina,30,6.574,26,6.65,24,6.59899997711182
29,Czech Republic,31,6.505,27,6.596,23,6.60900020599365
30,Uruguay,32,6.485,29,6.545,28,6.4539999961853
31,Colombia,33,6.477,31,6.481,36,6.35699987411499
32,Thailand,34,6.455,33,6.474,32,6.4239997863769505
33,Saudi Arabia,35,6.4110000000000005,34,6.379,37,6.343999862670901
34,Spain,36,6.329,37,6.361000000000001,34,6.40299987792969
35,Malta,37,6.3020000000000005,30,6.4879999999999995,27,6.52699995040894
36,Kuwait,39,6.295,41,6.239,39,6.10500001907349
37,Trinidad and Tobago,41,6.167999999999999,43,6.167999999999999,38,6.1680002212524405
38,El Salvador,42,6.13,46,6.068,45,6.002999782562259
39,Guatemala,43,6.122999999999999,39,6.324,29,6.4539999961853
40,Uzbekistan,44,6.002999999999999,49,5.987,47,5.97100019454956
41,Slovakia,45,5.995,45,6.077999999999999,40,6.09800004959106
42,Japan,46,5.987,53,5.921,51,5.92000007629395
43,South Korea,47,5.984,57,5.835,55,5.837999820709231
44,Ecuador,48,5.975,51,5.976,44,6.00799989700317
45,Bahrain,49,5.96,42,6.218,41,6.08699989318848
46,Italy,50,5.9479999999999995,50,5.977,48,5.96400022506714
47,Bolivia,51,5.89,59,5.822,58,5.82299995422363
48,Moldova,52,5.888999999999999,55,5.897,56,5.837999820709231
49,Paraguay,53,5.877999999999999,70,5.537999999999999,70,5.493000030517581
50,Kazakhstan,54,5.855,54,5.919,60,5.8189997673034695
51,Slovenia,55,5.848,63,5.768,62,5.75799989700317
52,Lithuania,56,5.832999999999999,60,5.813,52,5.90199995040894
53,Nicaragua,57,5.827999999999999,48,5.992000000000001,43,6.07100009918213
54,Peru,58,5.824,64,5.742999999999999,63,5.71500015258789
55,Belarus,59,5.813,61,5.8020000000000005,67,5.5689997673034695
56,Poland,60,5.791,57,5.835,46,5.97300004959106
57,Malaysia,61,5.77,47,6.005,42,6.08400011062622
58,Croatia,62,5.7589999999999995,74,5.4879999999999995,77,5.2930002212524405
59,Libya,63,5.754,67,5.615,68,5.525000095367429
60,Russia,64,5.716,56,5.856,49,5.962999820709231
61,Jamaica,65,5.709,73,5.51,76,5.31099987030029
62,North Cyprus,66,5.695,62,5.771,61,5.80999994277954
63,Cyprus,67,5.689,69,5.546,65,5.62099981307983
64,Algeria,68,5.605,38,6.355,53,5.872000217437741
65,Kosovo,69,5.5889999999999995,77,5.401,78,5.27899980545044
66,Turkmenistan,70,5.547999999999999,65,5.6579999999999995,59,5.82200002670288
67,Mauritius,71,5.477,66,5.648,64,5.62900018692017
68,Estonia,73,5.428999999999999,72,5.517,66,5.61100006103516
69,Indonesia,74,5.399,79,5.314,81,5.26200008392334
70,Vietnam,75,5.36,96,5.061,94,5.07399988174438
71,Turkey,76,5.332000000000001,78,5.388999999999999,69,5.5
72,Kyrgyzstan,77,5.2860000000000005,85,5.185,98,5.0040001869201705
73,Nigeria,78,5.268,103,4.875,95,5.07399988174438
74,Bhutan,79,5.252999999999999,84,5.196000000000001,97,5.01100015640259
75,Azerbaijan,80,5.212000000000001,81,5.291,85,5.234000205993651
76,Pakistan,81,5.194,92,5.132000000000001,80,5.26900005340576
77,Jordan,82,5.192,80,5.303,74,5.33599996566772
78,Montenegro,82,5.192,88,5.1610000000000005,83,5.23699998855591
79,China,84,5.14,83,5.245,79,5.2729997634887695
80,Zambia,85,5.129,106,4.795,116,4.513999938964839
81,Romania,86,5.124,71,5.528,57,5.824999809265139
82,Serbia,87,5.122999999999999,86,5.1770000000000005,73,5.39499998092651
83,Portugal,88,5.102,94,5.122999999999999,89,5.19500017166138
84,Latvia,89,5.098,68,5.56,54,5.849999904632571
85,Philippines,90,5.073,82,5.279,72,5.42999982833862
86,Morocco,92,5.013,90,5.151,84,5.2350001335144
87,Macedonia,93,5.007,95,5.121,92,5.175000190734861
88,Albania,95,4.959,109,4.655,109,4.64400005340576
89,Bosnia and Herzegovina,96,4.949,87,5.162999999999999,90,5.18200016021729
90,Dominican Republic,98,4.885,89,5.155,86,5.230000019073491
91,Mongolia,100,4.874,101,4.907,100,4.95499992370605
92,Greece,102,4.857,99,5.033,87,5.2270002365112305
93,Lebanon,103,4.8389999999999995,93,5.129,88,5.22499990463257
94,Hungary,104,4.8,91,5.145,75,5.32399988174438
95,Honduras,105,4.788,104,4.871,91,5.1810002326965305
96,Tajikistan,106,4.7860000000000005,100,4.996,96,5.04099988937378
97,Tunisia,107,4.739,98,5.045,102,4.80499982833862
98,Palestinian Territories,108,4.715,108,4.754,103,4.77500009536743
99,Bangladesh,109,4.694,110,4.643,110,4.60799980163574
100,Iran,110,4.686,105,4.813,108,4.69199991226196
101,Ukraine,111,4.681,123,4.324,132,4.09600019454956
102,Iraq,112,4.677,112,4.575,117,4.49700021743774
103,South Africa,113,4.6419999999999995,116,4.459,101,4.8289999961853
104,Ghana,114,4.633,124,4.276,131,4.11999988555908
105,Zimbabwe,115,4.61,131,4.1930000000000005,138,3.875
106,Liberia,116,4.571000000000001,150,3.622,148,3.5329999923706095
107,India,117,4.565,118,4.404,122,4.31500005722046
108,Sudan,118,4.55,133,4.138999999999999,130,4.138999938964839
109,Haiti,119,4.518,136,4.0280000000000005,145,3.6029999256133998
110,Congo (Kinshasa),120,4.5169999999999995,125,4.272,126,4.2800002098083505
111,Nepal,121,4.513999999999999,107,4.793,99,4.961999893188481
112,Ethiopia,122,4.512,115,4.508,119,4.46000003814697
113,Sierra Leone,123,4.507,111,4.635,106,4.70900011062622
114,Mauritania,124,4.436,130,4.2010000000000005,123,4.29199981689453
115,Kenya,125,4.419,122,4.356,112,4.55299997329712
116,Armenia,127,4.35,121,4.36,121,4.37599992752075
117,Botswana,128,4.332,137,3.9739999999999998,142,3.7660000324249303
118,Myanmar,129,4.3069999999999995,119,4.395,114,4.54500007629395
119,Georgia,130,4.297,126,4.252,125,4.28599977493286
120,Malawi,131,4.292,132,4.156000000000001,136,3.97000002861023
121,Sri Lanka,132,4.271,117,4.415,120,4.44000005722046
122,Cameroon,133,4.252,114,4.513,107,4.69500017166138
123,Bulgaria,134,4.218,129,4.217,105,4.71400022506714
124,Egypt,135,4.194,120,4.362,104,4.7350001335144
125,Yemen,136,4.077,147,3.7239999999999998,146,3.59299993515015
126,Angola,137,4.033,141,3.866,140,3.79500007629395
127,Mali,138,3.995,135,4.073,127,4.19000005722046
128,Congo (Brazzaville),139,3.989,127,4.236000000000001,124,4.29099988937378
129,Uganda,141,3.931,145,3.739,133,4.08099985122681
130,Senegal,142,3.904,128,4.218999999999999,115,4.53499984741211
131,Gabon,143,3.8960000000000004,134,4.121,118,4.46500015258789
132,Niger,144,3.845,142,3.8560000000000003,135,4.02799987792969
133,Cambodia,145,3.819,140,3.907,129,4.1680002212524405
134,Tanzania,146,3.781,149,3.6660000000000004,153,3.34899997711182
135,Madagascar,147,3.681,148,3.695,144,3.64400005340576
136,Chad,149,3.667,144,3.763,137,3.9360001087188703
137,Guinea,150,3.656,151,3.6069999999999998,149,3.50699996948242
138,Ivory Coast,151,3.655,139,3.9160000000000004,128,4.17999982833862
139,Burkina Faso,152,3.5869999999999997,145,3.739,134,4.03200006484985
140,Afghanistan,153,3.575,154,3.36,141,3.7939999103546103
141,Rwanda,154,3.465,152,3.515,151,3.47099995613098
142,Benin,155,3.34,153,3.484,143,3.65700006484985
143,Syria,156,3.0060000000000002,156,3.069,152,3.46199989318848
144,Burundi,157,2.905,157,2.905,154,2.90499997138977
145,Togo,158,2.839,155,3.303,150,3.4949998855590803
